,fluid,nozzle,flow_rate,volume,z_min,z_max,r_max,droplets
0,water,Quad,1,68.62,3.27,7.77,1.96,2
1,water,Quad,1,67.87,3.21,7.74,1.96,2
2,water,Quad,1,67.1,3.21,7.74,1.94,2
3,water,Quad,117,75.04,3.63,8.39,1.99,2
4,water,Quad,117,73.98,3.65,8.34,1.99,2
5,water,Quad,117,67.09,3.61,8.1,1.93,2
6,water,Quad,10,71.44,3.41,7.88,1.99,2
7,water,Quad,10,69.49,3.41,7.84,1.98,2
8,water,Quad,10,71.35,3.41,7.87,1.99,2
0,water,Tri,1,40.78,3.59,7.21,1.66,2
1,water,Tri,1,43.92,3.49,7.26,1.69,2
2,water,Tri,1,43.74,3.5,7.26,1.69,2
3,water,Tri,117,59.54,2.76,7.25,1.84,2
4,water,Tri,117,59.44,2.83,7.17,1.84,2
5,water,Tri,117,44.16,2.66,6.58,1.69,2
6,water,Tri,10,55.61,3.58,7.62,1.84,2
7,water,Tri,10,59.25,3.64,7.72,1.88,2
8,water,Tri,10,53.25,3.56,7.56,1.81,2
0,water,Curv,1,113.27,4.84,9.75,2.34,2
1,water,Curv,1,109.15,4.85,9.69,2.31,2
2,water,Curv,1,103.93,4.77,9.57,2.27,2
3,water,Curv,117,119.4,3.76,9.35,2.33,2
4,water,Curv,117,116.13,3.73,9.31,2.26,2
5,water,Curv,117,113.89,4.16,9.45,2.29,2
6,water,Curv,10,116.45,4.44,9.78,2.34,2
7,water,Curv,10,117.19,4.41,9.78,2.35,2
8,water,Curv,10,117.07,4.45,9.79,2.34,2
0,water,Circ,117,88.99,3.87,8.89,2.12,2
1,water,Circ,117,87.2,3.76,8.61,2.13,2
2,water,Circ,117,85.73,3.9,8.81,2.09,2
3,water,Circ,1,86.15,3.35,8.24,2.12,2
4,water,Circ,1,86.73,3.48,8.27,2.13,2
5,water,Circ,1,90.45,3.47,8.38,2.16,2
6,water,Circ,10,90.65,3.51,8.39,2.16,2
7,water,Circ,10,90.75,3.58,8.4,2.16,2
0,glycerol,Quad,1,68.62,3.27,7.77,1.96,2
1,glycerol,Quad,1,67.87,3.21,7.74,1.96,2
2,glycerol,Quad,1,67.1,3.21,7.74,1.94,2
3,glycerol,Quad,117,75.04,3.63,8.39,1.99,2
4,glycerol,Quad,117,73.98,3.65,8.34,1.99,2
5,glycerol,Quad,117,67.09,3.61,8.1,1.93,2
6,glycerol,Quad,10,71.44,3.41,7.88,1.99,2
7,glycerol,Quad,10,69.49,3.41,7.84,1.98,2
8,glycerol,Quad,10,71.35,3.41,7.87,1.99,2
0,glycerol,Tri,1,40.78,3.59,7.21,1.66,2
1,glycerol,Tri,1,43.92,3.49,7.26,1.69,2
2,glycerol,Tri,1,43.74,3.5,7.26,1.69,2
3,glycerol,Tri,117,59.54,2.76,7.25,1.84,2
4,glycerol,Tri,117,59.44,2.83,7.17,1.84,2
5,glycerol,Tri,117,44.16,2.66,6.58,1.69,2
6,glycerol,Tri,10,55.61,3.58,7.62,1.84,2
7,glycerol,Tri,10,59.25,3.64,7.72,1.88,2
8,glycerol,Tri,10,53.25,3.56,7.56,1.81,2
0,glycerol,Curv,1,113.27,4.84,9.75,2.34,2
1,glycerol,Curv,1,109.15,4.85,9.69,2.31,2
2,glycerol,Curv,1,103.93,4.77,9.57,2.27,2
3,glycerol,Curv,117,119.4,3.76,9.35,2.33,2
4,glycerol,Curv,117,116.13,3.73,9.31,2.26,2
5,glycerol,Curv,117,113.89,4.16,9.45,2.29,2
6,glycerol,Curv,10,116.45,4.44,9.78,2.34,2
7,glycerol,Curv,10,117.19,4.41,9.78,2.35,2
8,glycerol,Curv,10,117.07,4.45,9.79,2.34,2
0,glycerol,Circ,117,88.99,3.87,8.89,2.12,2
1,glycerol,Circ,117,87.2,3.76,8.61,2.13,2
2,glycerol,Circ,117,85.73,3.9,8.81,2.09,2
3,glycerol,Circ,,86.15,3.35,8.24,2.12,2
4,glycerol,Circ,,86.73,3.48,8.27,2.13,2
5,glycerol,Circ,,90.45,3.47,8.38,2.16,2
6,glycerol,Circ,10,90.65,3.51,8.39,2.16,2
7,glycerol,Circ,10,90.75,3.58,8.4,2.16,2
